Player 0, Player 1, Player 2, Player 3
51, 17, 21, 11, 
53, 12, 26, 9, 
49, 14, 18, 19, 
53, 16, 19, 12, 
47, 23, 13, 17, 
53, 14, 14, 19, 
44, 26, 16, 14, 
57, 17, 16, 10, 
46, 22, 12, 20, 
53, 18, 19, 10, 
53, 21, 12, 14, 
45, 18, 18, 19, 
53, 20, 13, 14, 
40, 15, 21, 24, 
55, 12, 11, 22, 
53, 15, 13, 19, 
52, 18, 20, 10, 
56, 17, 12, 15, 
49, 16, 18, 17, 
42, 24, 19, 15, 
59, 12, 18, 11, 
45, 22, 20, 13, 
51, 25, 12, 12, 
46, 18, 13, 23, 
42, 22, 20, 16, 
43, 20, 13, 24, 
55, 16, 18, 11, 
52, 13, 22, 13, 
51, 22, 12, 15, 
48, 12, 15, 25, 
51, 16, 15, 18, 
51, 18, 14, 17, 
64, 13, 11, 12, 
55, 14, 15, 16, 
51, 15, 14, 20, 
46, 18, 19, 17, 
53, 12, 17, 18, 
47, 17, 15, 21, 
53, 17, 16, 14, 
54, 14, 18, 14, 
42, 11, 32, 15, 
48, 15, 20, 17, 
51, 20, 17, 12, 
49, 17, 14, 20, 
47, 8, 28, 17, 
51, 17, 14, 18, 
51, 13, 20, 16, 
57, 9, 17, 17, 
54, 18, 7, 21, 
57, 11, 11, 21, 
43, 19, 23, 15, 
57, 12, 14, 17, 
57, 17, 15, 11, 
58, 11, 15, 16, 
54, 17, 17, 12, 
54, 15, 17, 14, 
56, 17, 19, 8, 
55, 19, 8, 18, 
58, 16, 13, 13, 
51, 16, 17, 16, 
51, 19, 15, 15, 
41, 20, 24, 15, 
53, 13, 19, 15, 
57, 14, 14, 15, 
46, 25, 10, 19, 
42, 19, 23, 16, 
60, 9, 17, 14, 
58, 10, 10, 22, 
48, 22, 18, 12, 
58, 15, 12, 15, 
46, 21, 16, 17, 
57, 13, 16, 14, 
47, 20, 18, 15, 
52, 14, 21, 13, 
48, 16, 18, 18, 
46, 16, 18, 20, 
52, 16, 19, 13, 
49, 19, 18, 14, 
55, 11, 15, 19, 
54, 18, 14, 14, 
52, 15, 14, 19, 
52, 17, 16, 15, 
48, 20, 13, 19, 
52, 19, 16, 13, 
48, 14, 16, 22, 
45, 24, 14, 17, 
60, 16, 9, 15, 
52, 11, 17, 20, 
51, 19, 20, 10, 
52, 17, 17, 14, 
50, 18, 16, 16, 
52, 15, 17, 16, 
48, 17, 12, 23, 
53, 17, 17, 13, 
43, 23, 21, 13, 
56, 16, 12, 16, 
53, 20, 17, 10, 
55, 16, 14, 15, 
51, 22, 16, 11, 
48, 14, 18, 20, 
44, 19, 12, 25, 
52, 15, 18, 15, 
51, 11, 15, 23, 
55, 17, 16, 12, 
52, 24, 9, 15, 
56, 14, 13, 17, 
51, 13, 19, 17, 
55, 18, 14, 13, 
47, 14, 18, 21, 
49, 19, 12, 20, 
51, 17, 20, 12, 
50, 13, 19, 18, 
54, 10, 17, 19, 
57, 15, 17, 11, 
